Company,Exchange:Ticker,Industry ,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Marketcapital,PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Daily trading volume/Shrs outs),Book Debt to capital ratio,MDC,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,roe,Return on Capital (ROC or ROIC),npm,Pre-tax Operating Margin,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,CRP,Country Marginal tax rate
Compass Group PLC (LSE:CPG),LSE:CPG,Restaurant,United Kingdom,Developed Europe,UK,0.642,0.7014,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$28,795.20 ",$753.86 ,"$3,670.40 ","$4,424.26 ","$33,219.46 ","$1,628.80 ","$31,590.66 ",4.90%,0,49.47%,13.32%,97.91%,15.36%,$16.04 ,0.85,46.58%,25.28%,0.15,17.42,41.46,41.46,19.47,3.48,6.37,1.01,14.05,12.82,21.74,1.11,94.17%,2.27%,-14.00%,-0.64%,6.66%,8.94%,11.90%,3.54%,13.33%,193.29%,2.44%,7.91%,39.81%,85.09%,$694.60 ,$694.60 ,"$1,973.60 ","$2,248.63 ","$28,425.50 ","$28,425.50 ","$2,464.20 ","$2,464.20 ","$1,353.45 ",($882.30),($165.18),$362.70 ,14.59%,"$1,155.93 ","$1,379.38 ",$497.08 ,"$5,209.20 ","$1,163.36 ","$4,518.70 ","$1,453.26 ",($654.10),0.47,0.33,0.5,0.03,0.04,"$1,226.96 ",$766.88 ,"($1,376.20)",0.60%,30%
Compagnie Generale DES Etablissements Michelin SCA (ENXTPA:ML),ENXTPA:ML,Rubber& Tires,France,Developed Europe,EU & Environs,0.9313,1.0637,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$19,720.90 ",$696.25 ,"$3,502.10 ","$4,198.35 ","$23,919.25 ","$1,515.80 ","$22,403.45 ",6.34%,0,26.12%,17.55%,35.36%,21.29%,$106.38 ,2.51,64.27%,50.57%,0.19,14.11,9.53,12.63,10.33,3.31,1.66,0.7,6.88,4.94,1.6,0.79,15.74%,1.25%,18.20%,9.38%,9.31%,4.61%,2.88%,-1.02%,14.49%,23.11%,5.74%,11.97%,33.22%,40.63%,"$2,070.00 ","$1,561.30 ","$2,953.50 ","$3,255.95 ","$28,313.00 ","$27,204.40 ","$4,534.20 ","$4,260.00 ","$2,174.20 ","$1,262.30 ",($774.80),"$2,892.40 ",97.40%,$56.60 ,"($1,818.60)",($556.30),"$10,775.20 ","$14,087.85 ","$11,873.90 ","$14,026.05 ",($245.70),1.3,1.16,0.5,0.04,0.06,"$1,917.10 ","$1,029.08 ",($245.70),0.60%,21%
TUI AG (DB:TUI1),DB:TUI1,Hotel/Gaming,Germany,Developed Europe,EU & Environs,0.7409,1.545,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,"$4,166.10 ","$4,143.72 ","$3,748.50 ","$7,892.22 ","$12,058.32 ","$3,656.60 ","$8,401.72 ",30.32%,0,74.18%,65.45%,287.33%,189.44%,$16.50 ,2.86,51.87%,61.70%,0.25,1.87,715.82,715.82,20.45,19.88,1.52,0.17,8.93,7.55,2.84,0.34,864.26%,1.21%,-65.20%,NA,4.16%,NA,36.00%,2.21%,0.22%,30.00%,0.02%,3.76%,42.70%,22.50%,$5.82 ,$5.82 ,$618.00 ,$940.36 ,"$25,008.50 ","$25,008.50 ","$1,112.50 ","$1,112.50 ",$538.81 ,$466.40 ,($82.74),$967.50 ,164.21%,($345.95),"($1,345.34)",($878.94),"$2,674.20 ","$3,134.32 ","$2,746.70 ","$2,953.92 ",($50.30),1.28,1.74,0.5,0.11,0.13,$162.14 ,$136.09 ,($50.30),0.00%,21%
TUI Travel PLC (LSE:TT.),LSE:TT.,Hotel/Gaming,United Kingdom,Developed Europe,UK,0.7409,0.8672,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,NA,"$7,620.60 ",$0.00 ,"$2,600.20 ","$2,600.20 ","$10,220.80 ","$2,838.20 ","$7,382.60 ",27.77%,0,51.86%,25.44%,107.71%,34.12%,$6.84 ,2,52.35%,52.06%,0.2,2.71,78.48,78.48,12.88,8.01,3.16,0.31,5.24,8.87,3.39,0.3,216.79%,2.76%,NA,NA,3.66%,1.56%,9.80%,2.00%,3.85%,NA,0.40%,5.78%,50.00%,31.04%,$97.10 ,$97.10 ,$430.70 ,"$1,408.60 ","$24,368.20 ","$24,368.20 ",$832.20 ,$832.20 ,$704.30 ,($19.50),($202.36),$751.20 ,77.93%,$155.46 ,($432.24),($451.74),"$2,523.20 ","($3,390.60)","$2,414.00 ","$2,176.00 ",($210.50),1.09,0.82,0.5,NA,NA,NA,NA,($210.50),0.60%,30%
Sodexo S.A. (ENXTPA:SW),ENXTPA:SW,Restaurant,France,Developed Europe,EU & Environs,0.642,0.7548,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,NA,"$15,365.00 ",$563.69 ,"$3,494.60 ","$4,058.29 ","$19,423.29 ","$1,778.30 ","$17,644.99 ",9.16%,0,50.69%,20.89%,102.81%,26.41%,$101.41 ,1.03,50.60%,32.76%,0.09,5.06,26.51,26.51,20.7,2.45,3.89,0.63,12.79,12.27,NA,0.73,54.68%,2.06%,2.39%,3.15%,6.50%,6.21%,10.80%,3.18%,15.17%,NA,2.39%,5.68%,33.52%,25.11%,$579.60 ,$579.60 ,"$1,087.90 ","$1,379.16 ","$24,288.10 ","$24,288.10 ","$1,437.70 ","$1,437.70 ",$916.84 ,$29.00 ,$163.68 ,$433.10 ,65.09%,$320.06 ,($46.18),($17.18),"$3,820.90 ",($377.11),"$3,947.50 ",($113.51),($316.90),0.66,0.22,0.5,0.03,0.04,$891.80 ,$460.77 ,($379.00),0.60%,21%
Faurecia S.A. (ENXTPA:EO),ENXTPA:EO,Auto Parts,France,Developed Europe,EU & Environs,1.1136,1.7173,#REF!,#REF!,2.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$4,227.60 ",$360.27 ,"$3,323.20 ","$3,683.47 ","$7,911.07 ","$1,100.40 ","$6,810.67 ",13.91%,0,66.84%,46.56%,201.52%,87.13%,$38.15 ,3.16,55.14%,75.27%,0.42,2.32,22.54,57.28,15.51,0.66,2.31,0.18,12.87,6.23,2.51,0.3,0.00%,0.00%,20.00%,NA,15.00%,6.98%,34.30%,4.26%,4.61%,23.18%,0.32%,2.28%,37.78%,17.29%,$187.60 ,$73.80 ,$601.40 ,$529.35 ,"$22,894.70 ","$23,223.80 ","$1,093.00 ","$1,035.70 ",$329.38 ,($419.00),($111.40),"$1,117.19 ",305.36%,($676.41),($512.99),($931.99),"$1,601.70 ","$2,283.87 ","$1,827.80 ","$2,718.07 ",$0.00 ,1.66,1.41,0.5,0.09,0.12,$322.19 ,($144.84),$0.00 ,0.60%,21%
Adidas AG (DB:ADS),DB:ADS,Apparel,Germany,Developed Europe,EU & Environs,0.8237,0.8979,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$26,677.60 ","$2,061.16 ","$1,833.90 ","$3,895.06 ","$30,572.66 ","$1,514.50 ","$29,058.16 ",4.95%,0,33.91%,12.74%,51.30%,14.60%,$127.51 ,1.29,49.50%,33.74%,0.17,14.36,38.47,37.62,19.15,2.37,3.51,1.36,14.66,16.12,3.52,1.48,53.82%,1.43%,-3.27%,-2.96%,7.69%,6.20%,16.20%,NA,9.37%,23.46%,3.64%,10.19%,38.26%,59.48%,$693.50 ,$709.20 ,"$1,555.10 ","$1,982.77 ","$19,622.90 ","$19,465.40 ","$1,802.40 ","$1,863.70 ","$1,224.12 ",$442.60 ,$82.60 ,$228.70 ,25.43%,$912.82 ,($44.70),$397.90 ,"$7,570.80 ","$8,450.46 ","$7,592.90 ","$8,258.66 ",($381.70),0.67,0.6,0.5,0.03,0.03,"$1,092.63 ",$614.73 ,($381.70),0.00%,21%
H & M Hennes & Mauritz AB (publ) (OM:HM B),OM:HM B,Retail (Special Lines),Sweden,Developed Europe,EU & Environs,0.799,0.8558,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$76,355.20 ","$7,040.14 ",$0.00 ,"$7,040.14 ","$83,395.34 ","$1,651.50 ","$81,743.84 ",1.98%,0,54.36%,8.44%,119.10%,9.22%,$46.13 ,1.23,55.77%,35.37%,0.18,4287.67,30.14,30.09,25.49,3.03,12.92,4.21,20.67,21.38,7.23,4.51,93.42%,3.10%,-4.54%,2.53%,5.27%,7.93%,9.94%,9.07%,43.92%,36.00%,13.51%,21.06%,22.88%,26.94%,"$2,533.40 ","$2,537.80 ","$3,232.90 ","$3,954.87 ","$18,143.70 ","$18,782.50 ","$3,823.90 ","$3,843.50 ","$3,049.92 ",$0.00 ,$235.40 ,$972.50 ,39.60%,"$1,842.02 ","$1,329.90 ","$1,329.90 ","$5,777.80 ","$10,984.74 ","$5,911.00 ","$11,299.64 ","($2,370.70)",0.79,0.27,0.5,0.03,0.04,"$2,492.37 ","$1,853.99 ","($2,370.70)",0.00%,21%
Electrolux AB (OM:ELUX B),OM:ELUX B,Furn/Home Furnishings,Sweden,Developed Europe,EU & Environs,0.8669,1.0841,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$7,516.40 ",$406.19 ,"$2,163.10 ","$2,569.29 ","$10,085.69 ",$773.90 ,"$9,311.79 ",7.67%,0.01,51.93%,25.47%,108.02%,34.18%,$26.24 ,1.8,47.54%,47.54%,0.12,6.66,18.85,22.63,27.86,1.31,3.16,0.44,12.57,7.92,2.74,0.55,87.56%,3.87%,-18.80%,1.64%,0.76%,1.07%,14.40%,1.85%,11.21%,20.67%,1.95%,4.35%,26.69%,46.02%,$398.70 ,$332.10 ,$702.60 ,$740.96 ,"$16,892.80 ","$17,037.90 ","$1,176.40 ","$1,101.40 ",$543.18 ,($30.40),$65.20 ,$741.00 ,148.42%,($263.02),($443.70),($474.10),"$2,962.30 ","$3,584.29 ","$2,378.60 ","$3,394.69 ",($290.80),0.9,0.89,0.5,0.04,0.05,$658.06 ,$409.53 ,($290.80),0.00%,21%
Kingfisher plc (LSE:KGF),LSE:KGF,Retail (Building Supply),United Kingdom,Developed Europe,UK,0.7368,1.0498,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$14,990.30 ","$5,841.73 ",$526.40 ,"$6,368.13 ","$21,358.43 ",$855.50 ,"$20,502.93 ",4.01%,0,39.28%,29.82%,64.69%,42.48%,$6.37 ,1.62,53.57%,41.30%,0.22,41.32,16.89,13.15,15.31,1.91,1.52,0.9,33.13,14.08,1.76,1.23,29.94%,2.28%,19.50%,23.30%,1.12%,2.48%,8.83%,4.33%,12.84%,5.62%,6.89%,3.74%,0.00%,91.92%,$887.70 ,"$1,140.10 ","$1,074.30 ",$618.95 ,"$16,641.20 ","$16,544.50 ","$1,455.90 ","$1,426.30 ",$618.95 ,$492.80 ,$166.77 ,$449.80 ,99.61%,$2.38 ,$30.73 ,$523.53 ,"$8,879.80 ","$11,011.13 ","$9,844.70 ","$11,663.13 ",($341.30),0.89,0.65,0.5,0.02,0.04,$985.32 ,$630.65 ,($341.30),0.60%,30%
Marks & Spencer Group plc (LSE:MKS),LSE:MKS,Retail (General),United Kingdom,Developed Europe,UK,0.7312,1.2559,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$11,524.80 ","$5,635.67 ","$3,956.00 ","$9,591.67 ","$21,116.47 ",$268.90 ,"$20,847.57 ",1.27%,0,70.82%,45.42%,242.70%,83.23%,$7.17 ,1.26,43.47%,42.09%,0.19,6.41,16.26,14.39,12.47,1.86,2.92,0.76,18.35,11.45,1.57,1.37,54.93%,3.82%,-4.13%,-5.30%,1.48%,2.43%,8.73%,3.96%,21.76%,8.81%,4.86%,6.90%,13.77%,68.87%,$708.70 ,$800.70 ,"$1,268.20 ","$1,136.27 ","$15,225.60 ","$16,472.50 ","$1,820.80 ","$1,875.00 ",$979.78 ,($34.40),$87.20 ,$267.90 ,36.24%,$624.68 ,$480.00 ,$445.60 ,"$3,679.30 ","$12,893.37 ","$3,952.10 ","$13,274.87 ",($439.80),0.73,0.42,0.5,0.03,0.03,"$1,511.62 ","$1,006.67 ",($439.80),0.60%,30%
WPP plc (LSE:WPP),LSE:WPP,Advertising,United Kingdom,Developed Europe,UK,0.8911,1.0994,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$30,749.20 ","$2,944.16 ","$6,295.90 ","$9,240.06 ","$39,989.26 ","$2,017.90 ","$37,971.36 ",5.05%,0,43.15%,23.11%,75.90%,30.05%,$22.86 ,1.7,64.11%,33.97%,0.22,5.36,23,24.5,16.1,2.17,2.53,1.82,16.39,13.32,8.85,2.25,37.13%,1.52%,19.80%,10.90%,6.68%,10.20%,10.60%,6.15%,11.73%,64.92%,7.70%,14.21%,22.22%,54.57%,"$1,337.20 ","$1,255.10 ","$2,152.10 ","$2,316.67 ","$16,860.00 ","$16,305.50 ","$2,851.20 ","$2,780.60 ","$1,802.01 ",($566.80),$530.00 ,"$1,349.50 ",104.30%,($77.49),($57.60),($624.40),"$10,698.60 ","$3,568.76 ","$12,173.90 ","$4,291.26 ",($466.00),0.87,0.81,0.5,0.03,0.04,"$1,441.67 ",$820.70 ,($772.10),0.60%,30%
